Date,Price,Open,High,Low,Vol.
01-22-2019,"23,198.00","23,199.00","23,202.30","23,196.50",0.02K
01-21-2019,"23,198.00","23,197.00","23,202.50","23,196.00",0.02K
01-18-2019,"23,197.00","23,202.50","23,203.30","23,196.50",0.01K
01-17-2019,"23,198.00","23,199.50","23,203.50","23,196.50",0.02K
01-16-2019,"23,198.00","23,202.50","23,203.50","23,196.00",0.02K
01-15-2019,"23,203.00","23,202.00","23,204.00","23,197.00",0.00K
01-14-2019,"23,199.00","23,197.00","23,202.50","23,196.00",0.00K
01-11-2019,"23,198.00","23,199.00","23,201.00","23,193.50",0.02K
01-10-2019,"23,196.00","23,198.50","23,201.00","23,193.00",0.01K
01-09-2019,"23,198.00","23,199.50","23,201.00","23,194.50",0.02K
01-08-2019,"23,198.00","23,200.50","23,200.50","23,193.50",0.02K
01-07-2019,"23,198.00","23,198.50","23,204.00","23,192.50",0.02K
01-04-2019,"23,198.00","23,199.00","23,202.50","23,194.00",0.02K
01-03-2019,"23,200.00","23,202.50","23,206.50","23,192.50",0.02K
01-02-2019,"23,205.00","23,193.50","23,210.00","23,192.50",0.02K
01-01-2019,"23,190.00","23,190.00","23,190.00","23,190.00",
12-31-2018,"23,190.00","23,190.00","23,190.00","23,190.00",
12-28-2018,"23,190.00","23,190.00","23,232.50","23,185.00",
12-27-2018,"23,230.00","23,287.50","23,287.50","23,220.00",
12-26-2018,"23,260.00","23,287.50","23,287.50","23,262.50",
12-25-2018,"23,277.00","23,281.00","23,282.50","23,275.00",
12-24-2018,"23,278.00","23,281.00","23,290.00","23,279.00",
12-21-2018,"23,282.00","23,297.50","23,297.50","23,278.00",
12-20-2018,"23,300.00","23,305.00","23,326.50","23,291.00",
12-19-2018,"23,307.00","23,308.00","23,316.50","23,303.50",
12-18-2018,"23,318.00","23,327.50","23,334.00","23,294.00",
12-17-2018,"23,318.00","23,285.00","23,328.00","23,285.00",
12-14-2018,"23,287.00","23,294.00","23,294.00","23,282.00",
12-13-2018,"23,285.00","23,290.00","23,303.50","23,282.50",
12-12-2018,"23,300.00","23,304.00","23,320.00","23,290.50",
12-11-2018,"23,300.00","23,304.00","23,328.00","23,297.50",
12-10-2018,"23,305.00","23,317.00","23,347.50","23,297.50",
12-07-2018,"23,310.00","23,327.50","23,328.00","23,312.50",
12-06-2018,"23,332.00","23,322.50","23,344.50","23,302.50",
12-05-2018,"23,306.00","23,301.50","23,308.00","23,293.50",
12-04-2018,"23,283.00","23,347.50","23,347.50","23,284.00",
12-03-2018,"23,300.00","23,313.50","23,317.00","23,296.00",
11-30-2018,"23,315.00","23,347.50","23,347.50","23,312.50",
11-29-2018,"23,327.00","23,347.50","23,347.50","23,326.50",
11-28-2018,"23,335.00","23,347.50","23,347.50","23,332.00",
11-27-2018,"23,345.00","23,347.50","23,348.50","23,332.50",
11-26-2018,"23,340.00","23,346.00","23,360.00","23,312.50",
11-23-2018,"23,360.00","23,317.50","23,362.50","23,317.50",
11-22-2018,"23,345.00","23,352.50","23,354.00","23,347.50",
11-21-2018,"23,352.00","23,317.50","23,353.50","23,317.50",
11-20-2018,"23,336.00","23,324.00","23,347.50","23,324.00",
11-19-2018,"23,310.00","23,311.50","23,347.50","23,304.50",
11-16-2018,"23,306.00","23,311.50","23,312.50","23,301.50",
11-15-2018,"23,308.00","23,315.50","23,347.50","23,302.50",
11-14-2018,"23,315.00","23,305.50","23,317.50","23,302.50",
11-13-2018,"23,308.00","23,310.50","23,313.00","23,302.50",
11-12-2018,"23,300.00","23,314.00","23,325.00","23,280.00",
11-09-2018,"23,290.00","23,312.50","23,326.00","23,295.00",
11-08-2018,"23,318.00","23,317.50","23,328.00","23,312.50",
11-07-2018,"23,326.00","23,322.50","23,333.00","23,311.50",
11-06-2018,"23,325.00","23,312.50","23,328.50","23,312.50",
11-05-2018,"23,310.00","23,325.50","23,332.50","23,306.00",
11-02-2018,"23,330.00","23,332.50","23,347.50","23,317.50",
11-01-2018,"23,345.00","23,345.50","23,349.00","23,334.50",
10-31-2018,"23,343.00","23,347.50","23,348.50","23,342.50",
10-30-2018,"23,343.00","23,342.50","23,348.50","23,331.50",
10-29-2018,"23,343.00","23,350.00","23,353.00","23,345.50",
10-26-2018,"23,355.00","23,352.50","23,357.00","23,348.50",
10-25-2018,"23,350.00","23,351.50","23,355.00","23,347.00",
10-24-2018,"23,348.00","23,350.50","23,352.50","23,345.00",
10-23-2018,"23,348.00","23,347.50","23,352.50","23,346.00",
10-22-2018,"23,348.00","23,351.50","23,352.00","23,345.00",
10-19-2018,"23,351.00","23,349.50","23,353.00","23,345.50",
10-18-2018,"23,347.00","23,347.50","23,349.00","23,343.00",
10-17-2018,"23,342.00","23,342.50","23,346.50","23,311.50",
10-16-2018,"23,338.00","23,337.50","23,342.50","23,333.00",
10-15-2018,"23,330.00","23,353.00","23,353.00","23,332.50",
10-12-2018,"23,343.00","23,345.50","23,348.00","23,342.50",
10-11-2018,"23,345.00","23,342.50","23,357.50","23,342.50",
10-10-2018,"23,350.00","23,355.50","23,356.50","23,348.00",
10-09-2018,"23,355.00","23,357.50","23,358.50","23,347.50",
10-08-2018,"23,350.00","23,347.50","23,354.00","23,311.50",
10-05-2018,"23,330.00","23,352.50","23,352.50","23,331.50",
10-04-2018,"23,348.00","23,347.50","23,351.50","23,343.50",
