gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
1471.90002,1.60000,1.57400,1.63700,1.81500,2019-11-07
1474.30005,1.60000,1.56700,1.62500,1.78600,2019-11-08
1474.19995,1.58200,1.57200,1.59400,1.74700,2019-11-09
1463.59998,1.60900,1.57700,1.61900,1.77600,2019-11-10
1463.59998,1.62600,1.58900,1.62400,1.77100,2019-11-11
1463.59998,1.62600,1.58900,1.62400,1.77100,2019-11-12
1463.59998,1.62600,1.58900,1.62400,1.77100,2019-11-13
1456.90002,1.61100,1.58900,1.60700,1.75200,2019-11-14
1460.30005,1.59000,1.60500,1.59600,1.74100,2019-11-15
1457.90002,1.62600,1.60800,1.62800,1.76700,2019-11-16
1472.69995,1.62800,1.60800,1.63600,1.77800,2019-11-17
1470.00000,1.61200,1.58700,1.62400,1.77400,2019-11-18
1470.00000,1.61200,1.58700,1.62400,1.77400,2019-11-19
1470.00000,1.61200,1.58700,1.62400,1.77400,2019-11-20
1466.40002,1.60400,1.57900,1.64400,1.82200,2019-11-21
1481.59998,1.54200,1.57900,1.54400,1.71700,2019-11-22
1477.50000,1.57800,1.55900,1.60300,1.77800,2019-11-23
1480.30005,1.59200,1.54600,1.63100,1.80900,2019-11-24
1462.50000,1.61900,1.52300,1.66800,1.84300,2019-11-25
1462.50000,1.61900,1.52300,1.66800,1.84300,2019-11-26
1462.50000,1.61900,1.52300,1.66800,1.84300,2019-11-27
1462.80005,1.61900,1.55600,1.65800,1.82100,2019-11-28
1465.90002,1.65400,1.56700,1.68600,1.84200,2019-11-29
1472.69995,1.61500,1.57200,1.63800,1.79300,2019-11-30
1469.80005,1.66400,1.57200,1.73100,1.89600,2019-12-01
1478.59998,1.60800,1.56400,1.65600,1.82400,2019-12-02
1478.59998,1.60800,1.56400,1.65600,1.82400,2019-12-03
1478.59998,1.60800,1.56400,1.65600,1.82400,2019-12-04
1477.90002,1.63000,1.56600,1.70300,1.87300,2019-12-05
1477.00000,1.62500,1.57200,1.70200,1.87500,2019-12-06
1474.69995,1.63500,1.55900,1.73700,1.92200,2019-12-07
1480.19995,1.63100,1.57400,1.73500,1.92200,2019-12-08
1477.00000,1.63200,1.57900,1.73400,1.91900,2019-12-09
1477.00000,1.63200,1.57900,1.73400,1.91900,2019-12-10
1477.00000,1.63200,1.57900,1.73400,1.91900,2019-12-11
1484.30005,1.65000,1.57400,1.74500,1.92800,2019-12-12
1500.59998,1.62900,1.57900,1.71200,1.90300,2019-12-13
1500.59998,1.63100,1.58200,1.73500,1.90700,2019-12-14
1510.69995,1.63500,1.57700,1.71900,1.89400,2019-12-15
1514.30005,1.58700,1.56400,1.67800,1.87700,2019-12-16
1514.30005,1.58700,1.56400,1.67800,1.87700,2019-12-17
1514.30005,1.58700,1.56400,1.67800,1.87700,2019-12-18
1518.59998,1.57100,1.54100,1.67600,1.88600,2019-12-19
1523.09998,1.57100,1.55600,1.69300,1.91900,2019-12-20
1523.09998,1.57100,1.55600,1.69300,1.92100,2019-12-21
1528.09998,1.57100,1.53300,1.66600,1.87700,2019-12-22
1552.40002,1.53300,1.52000,1.59400,1.79300,2019-12-23
1552.40002,1.53300,1.52000,1.59400,1.79300,2019-12-24
1552.40002,1.53300,1.52000,1.59400,1.79300,2019-12-25
1568.80005,1.54700,1.53800,1.60700,1.80900,2019-12-26
1574.30005,1.53800,1.55100,1.60400,1.81100,2019-12-27
1560.19995,1.58500,1.54400,1.66400,1.87400,2019-12-28
1554.30005,1.58100,1.54100,1.65100,1.85500,2019-12-29
1560.09998,1.57000,1.53800,1.63300,1.82000,2019-12-30
1560.09998,1.57000,1.53800,1.63300,1.82000,2019-12-31
1560.09998,1.57000,1.53800,1.63300,1.82000,2020-01-01
1550.59998,1.58800,1.56400,1.65100,1.84800,2020-01-02
1544.59998,1.57000,1.57200,1.61800,1.81300,2020-01-03
1554.00000,1.56000,1.56900,1.60200,1.78600,2020-01-04
1550.50000,1.56600,1.55900,1.62500,1.80900,2020-01-05
1560.30005,1.56500,1.56100,1.62300,1.82500,2020-01-06
1560.30005,1.56500,1.56100,1.62300,1.82500,2020-01-07
1560.30005,1.56500,1.56100,1.62300,1.82500,2020-01-08
1557.90002,1.56100,1.55900,1.62000,1.82300,2020-01-09
1557.90002,1.53300,1.55600,1.57500,1.77400,2020-01-10
1556.69995,1.52800,1.55400,1.57500,1.76900,2020-01-11
1565.40002,1.51400,1.55600,1.54400,1.73100,2020-01-12
1571.90002,1.49500,1.53100,1.50900,1.68600,2020-01-13
1571.90002,1.49500,1.53100,1.50900,1.68600,2020-01-14
1571.90002,1.49500,1.53100,1.50900,1.68600,2020-01-15
1577.40002,1.44700,1.54600,1.44500,1.61300,2020-01-16
1569.80005,1.46900,1.57200,1.48400,1.66100,2020-01-17
1570.40002,1.41300,1.56200,1.40400,1.58100,2020-01-18
