"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/1993","90.740","91.200","91.240","90.340","2.56K","-0.32%"
"04/19/1993","91.030","92.080","92.080","90.980","2.56K","-1.27%"
"04/16/1993","92.200","91.830","92.290","91.700","2.46K","0.40%"
"04/15/1993","91.830","91.280","91.960","91.170","2.32K","0.43%"
"04/14/1993","91.440","90.820","91.490","90.900","2.04K","0.65%"
"04/13/1993","90.850","91.450","91.500","90.640","2.30K","-0.70%"
"04/12/1993","91.490","91.860","91.900","91.340","3.42K","-0.87%"
"04/08/1993","92.290","92.760","92.770","91.940","2.09K","-0.62%"
"04/07/1993","92.870","92.730","93.070","92.500","1.80K","0.10%"
"04/06/1993","92.780","92.070","92.970","92.070","1.21K","0.71%"
"04/05/1993","92.130","92.350","92.490","92.050","0.29K","-0.34%"
"04/02/1993","92.440","92.100","93.070","91.650","1.92K","0.48%"
"04/01/1993","92.000","92.980","93.280","91.980","3.16K","-1.01%"
"03/31/1993","92.940","93.590","93.650","92.870","2.34K","-0.67%"
"03/30/1993","93.570","93.800","94.150","93.480","2.01K","-0.35%"
"03/29/1993","93.900","93.950","94.170","93.780","0.36K","-0.27%"
"03/26/1993","94.150","94.650","94.680","93.870","1.16K","-0.54%"
"03/25/1993","94.660","94.400","94.880","94.310","2.11K","0.10%"
"03/24/1993","94.570","93.850","94.600","93.850","2.15K","0.58%"
"03/23/1993","94.020","94.100","94.200","93.870","0.31K","-0.09%"
"03/22/1993","94.100","94.600","94.720","93.900","2.02K","0.13%"
"03/19/1993","93.980","94.350","94.470","93.600","5.40K","-0.49%"
"03/18/1993","94.440","95.680","95.680","94.400","5.11K","0.21%"
"03/17/1993","94.240","94.260","94.290","94.210","0.40K","-0.06%"
"03/16/1993","94.300","94.380","94.420","94.000","2.40K","-0.25%"
"03/15/1993","94.540","94.700","94.850","94.450","0.16K","0.04%"
"03/12/1993","94.500","94.350","94.700","94.330","0.21K","0.11%"
"03/11/1993","94.400","94.400","94.800","94.290","0.27K","-0.15%"
"03/10/1993","94.540","94.560","94.850","94.450","","-0.11%"
"03/09/1993","94.640","94.200","94.750","94.200","1.26K","0.41%"
"03/08/1993","94.250","94.270","94.310","94.040","0.82K","-0.32%"
"03/05/1993","94.550","93.470","94.760","93.430","4.08K","1.40%"
"03/04/1993","93.240","93.340","93.550","93.080","2.84K","-0.63%"
"03/03/1993","93.830","93.320","93.940","93.320","0.52K","0.06%"
"03/02/1993","93.770","93.750","93.920","93.500","2.27K","-0.71%"
"03/01/1993","94.440","94.440","94.500","94.130","0.48K","0.02%"
"02/26/1993","94.420","93.930","94.450","93.930","","0.47%"
"02/25/1993","93.980","93.930","94.200","93.650","","0.12%"
"02/24/1993","93.870","93.200","93.950","93.150","1.73K","0.68%"
"02/23/1993","93.240","93.150","93.480","92.780","2.22K","0.26%"
"02/22/1993","93.000","93.880","93.920","92.980","1.44K","-1.02%"
"02/19/1993","93.960","93.500","94.030","93.440","2.08K","0.19%"
"02/18/1993","93.780","93.510","95.100","93.430","4.18K","0.34%"
"02/17/1993","93.460","93.600","93.830","93.250","1.26K","-0.30%"
"02/16/1993","93.740","95.400","95.400","93.500","6.78K","-1.73%"
"02/12/1993","95.390","94.950","95.500","94.400","2.77K","0.44%"
"02/11/1993","94.970","95.200","95.350","94.800","0.93K","-0.23%"
"02/10/1993","95.190","94.600","95.330","94.320","3.58K","0.56%"
