Date,Price,Open,High,Low,Vol.
01-05-2012,81.25,80.45,81.345,80.385,18.59K
01-04-2012,80.425,79.97,80.64,79.845,14.08K
01-03-2012,79.912,80.155,80.225,79.83,20.04K
01-02-2012,80.58,80.58,80.58,80.58,
12-30-2011,80.522,80.83,81.025,80.36,12.44K
12-29-2011,80.911,81.085,81.31,80.77,15.45K
12-28-2011,80.883,80.14,81.025,80.055,21.11K
12-27-2011,80.135,80.15,80.235,80.04,5.66K
12-26-2011,80.32,80.32,80.32,80.32,
12-23-2011,80.236,80.21,80.375,80.06,7.17K
12-22-2011,80.306,80.36,80.505,79.955,13.24K
12-21-2011,80.35,80.105,80.445,79.55,24.14K
12-20-2011,80.273,80.89,80.94,80.035,22.95K
12-19-2011,80.207,80.3,80.47,80.125,0.97K
12-16-2011,80.249,80.175,80.395,79.935,13.15K
12-15-2011,80.341,80.565,80.63,80.13,22.85K
12-14-2011,80.622,80.29,80.775,80.14,36.53K
12-13-2011,80.289,79.635,80.455,79.35,40.15K
12-12-2011,79.58,78.78,79.705,78.69,33.59K
12-09-2011,78.681,78.875,79.185,78.485,14.95K
12-08-2011,78.912,78.49,79.09,78.15,22.61K
12-07-2011,78.552,78.575,78.81,78.355,15.68K
12-06-2011,78.571,78.69,78.975,78.52,16.65K
12-05-2011,78.671,78.735,78.78,78.265,20.67K
12-02-2011,78.731,78.295,78.89,78.06,20.89K
12-01-2011,78.433,78.485,78.64,78.145,21.20K
11-30-2011,78.491,79.185,79.515,78.01,30.42K
11-29-2011,79.151,79.46,79.53,78.695,20.98K
11-28-2011,79.436,79.45,79.58,78.95,24.50K
11-25-2011,79.831,79.39,79.875,79.33,14.69K
11-24-2011,79.351,79.185,79.375,78.925,7.65K
11-23-2011,79.351,78.33,79.4,78.33,7.65K
11-22-2011,78.435,78.46,78.61,78.16,22.88K
11-21-2011,78.463,78.23,78.71,78.145,21.50K
11-18-2011,78.255,78.54,78.56,77.74,25.83K
11-17-2011,78.489,78.58,78.69,78.135,23.04K
11-16-2011,78.206,78.175,78.605,78.04,26.32K
11-15-2011,78.062,77.66,78.315,77.62,25.21K
11-14-2011,77.753,76.975,77.84,76.925,19.17K
11-11-2011,77.131,77.885,77.96,76.92,17.02K
11-10-2011,77.973,78.215,78.42,77.625,26.24K
11-09-2011,78.167,76.765,78.25,76.675,33.77K
11-08-2011,76.751,77.225,77.36,76.72,19.05K
11-07-2011,77.141,77.05,77.595,76.995,20.69K
11-04-2011,77.162,76.89,77.505,76.775,33.58K
11-03-2011,76.856,77.505,77.68,76.75,42.77K
11-02-2011,77.181,77.62,77.645,76.85,30.02K
11-01-2011,77.39,76.63,77.84,76.595,37.57K
10-31-2011,76.306,75.215,76.72,75.11,34.59K
10-28-2011,75.216,75.08,75.305,75.045,20.16K
10-27-2011,75.011,76.455,76.46,74.86,46.91K
10-26-2011,76.473,76.48,76.87,76.065,32.04K
10-25-2011,76.321,76.335,76.655,76.135,35.70K
10-24-2011,76.262,76.6,76.775,76.195,31.90K
10-21-2011,76.628,77.19,77.505,76.465,33.56K
10-20-2011,77.236,77.365,77.79,76.97,36.14K
10-19-2011,77.416,77.45,77.49,76.815,30.30K
10-18-2011,77.412,77.46,77.855,77.045,35.32K
10-17-2011,77.428,76.81,77.535,76.7,24.55K
10-14-2011,76.907,77.425,77.565,76.795,21.32K
10-13-2011,77.284,77.31,77.74,77.095,22.77K
10-12-2011,77.274,78,78.24,77.115,35.04K
10-11-2011,77.908,77.98,78.28,77.775,21.27K
10-10-2011,77.811,79.075,79.18,77.67,25.66K
10-07-2011,79.149,79.05,79.25,78.45,35.47K
10-06-2011,79.088,79.46,79.98,78.935,34.51K
10-05-2011,79.385,79.64,79.87,79.28,31.50K
10-04-2011,80.104,80.125,80.43,79.38,36.82K
10-03-2011,79.937,79.44,80.22,79.305,33.15K
09-30-2011,79.075,78.455,79.315,78.37,29.98K
09-29-2011,78.603,78.735,78.745,78.025,26.82K
09-28-2011,78.429,78.32,78.66,77.835,32.96K
09-27-2011,78.028,78.82,78.995,77.93,31.88K
09-26-2011,79.063,78.995,79.645,78.69,28.76K
09-23-2011,79.228,78.9,79.32,78.59,37.46K
09-22-2011,79.1,78.4,79.4,78.335,49.77K
09-21-2011,77.859,77.45,78.455,77.235,46.34K
09-20-2011,77.528,77.83,77.96,77.325,24.75K
09-19-2011,77.435,77.07,77.5,76.965,3.88K
09-16-2011,76.593,76.335,76.79,76.32,11.82K
09-15-2011,76.267,76.88,77.105,76.09,27.94K
09-14-2011,76.875,77.145,77.555,76.72,41.43K
09-13-2011,76.997,77.365,77.7,76.895,40.74K
09-12-2011,77.666,77.58,77.885,77.13,41.98K
09-09-2011,77.3,76.35,77.375,76.135,60.33K
09-08-2011,76.352,75.58,76.405,75.57,32.57K
09-07-2011,75.566,75.94,75.965,75.32,32.65K
09-06-2011,76.057,75.37,76.115,74.67,50.08K
09-05-2011,75.223,74.91,75.415,74.91,9.85K
09-02-2011,74.839,74.59,74.86,74.345,24.49K
09-01-2011,74.557,74.235,74.865,74.2,25.42K
08-31-2011,74.173,74.055,74.245,73.89,18.83K
08-30-2011,73.996,73.75,74.25,73.68,26.00K
08-29-2011,73.777,73.785,73.91,73.565,13.34K
08-26-2011,73.869,74.285,74.55,73.765,29.82K
08-25-2011,74.362,74.115,74.505,73.89,22.39K
08-24-2011,74.087,73.9,74.175,73.715,20.30K
08-23-2011,73.961,74.245,74.26,73.635,21.84K
08-22-2011,74.168,74.14,74.25,73.875,14.00K
08-19-2011,74.106,74.475,74.57,73.685,25.81K
08-18-2011,74.315,73.875,74.545,73.81,26.53K
08-17-2011,73.758,74.145,74.31,73.515,21.32K
08-16-2011,74.093,74,74.265,73.845,18.95K
08-15-2011,73.929,74.675,74.745,73.84,21.63K
08-12-2011,74.743,74.8,75.055,74.495,17.46K
08-11-2011,74.81,75.01,75.39,74.45,34.06K
08-10-2011,74.769,74.13,74.925,73.905,40.23K
08-09-2011,74.724,75.015,75.1,73.99,39.24K
08-08-2011,74.938,74.39,75.215,74.15,38.49K
08-05-2011,74.802,75.57,75.645,74.67,39.56K
08-04-2011,75.36,74.08,75.55,74.02,56.64K
08-03-2011,74.199,74.72,74.855,74.085,25.69K
08-02-2011,74.666,74.49,74.915,74.345,30.44K
08-01-2011,74.456,74.13,74.745,73.755,31.79K
07-29-2011,74.036,74.33,74.685,73.86,29.00K
07-28-2011,74.391,74.3,74.585,74.045,23.40K
07-27-2011,74.273,73.69,74.39,73.585,32.91K
07-26-2011,73.629,74.31,74.395,73.605,28.55K
07-25-2011,74.254,74.18,74.51,74.175,17.62K
07-22-2011,74.412,74.245,74.6,74.155,22.18K
07-21-2011,74.231,74.97,75.37,74.125,44.56K
07-20-2011,75.094,75.395,75.52,75.015,26.90K
07-19-2011,75.513,75.63,75.82,75.18,26.07K
07-18-2011,75.793,75.52,76.115,75.48,30.61K
07-15-2011,75.52,75.44,75.745,75.29,24.78K
07-14-2011,75.562,75.06,75.645,74.99,37.68K
07-13-2011,75.547,76.395,76.455,75.37,37.20K
07-12-2011,76.234,76.395,77.175,76.085,49.26K
