"Date","Price","Open","High","Low","Change %"
"12/01/2011","12.240","12.240","12.240","12.240","0.08%"
"11/30/2011","12.230","12.230","12.230","12.230","0.00%"
"11/29/2011","12.230","12.230","12.230","12.230","0.00%"
"11/28/2011","12.230","12.270","12.270","12.230","-0.24%"
"11/25/2011","12.260","12.260","12.260","12.260","0.00%"
"11/24/2011","12.260","12.260","12.260","12.260","0.00%"
"11/23/2011","12.260","12.260","12.260","12.260","0.00%"
"11/22/2011","12.260","12.230","12.260","12.230","0.25%"
"11/21/2011","12.230","12.240","12.240","12.230","-0.08%"
"11/18/2011","12.240","12.240","12.240","12.240","0.08%"
"11/17/2011","12.230","12.230","12.230","12.230","0.00%"
"11/16/2011","12.230","12.230","12.230","12.230","0.00%"
"11/15/2011","12.230","12.230","12.230","12.230","0.00%"
"11/14/2011","12.230","12.230","12.230","12.230","0.00%"
"11/11/2011","12.230","12.220","12.230","12.220","0.08%"
"11/10/2011","12.220","12.250","12.250","12.220","-0.16%"
"11/09/2011","12.240","12.230","12.240","12.230","0.08%"
"11/08/2011","12.230","12.230","12.230","12.230","0.00%"
"11/07/2011","12.230","12.240","12.240","12.230","-0.08%"
"11/04/2011","12.240","12.240","12.240","12.240","0.00%"
"11/03/2011","12.240","12.240","12.240","12.240","0.08%"
"11/02/2011","12.230","12.230","12.230","12.230","-0.24%"
"11/01/2011","12.260","12.260","12.260","12.260","0.00%"
"10/31/2011","12.260","12.290","12.290","12.260","-0.24%"
"10/28/2011","12.290","12.270","12.290","12.270","0.16%"
"10/27/2011","12.270","12.280","12.280","12.270","-0.08%"
