Date,Price,Open,High,Low
12-09-1999,5.252,5.252,5.252,5.252
12-08-1999,5.211,5.211,5.211,5.211
12-07-1999,5.191,5.191,5.191,5.191
12-06-1999,5.218,5.218,5.218,5.218
12-03-1999,5.239,5.239,5.239,5.239
12-02-1999,5.242,5.242,5.242,5.242
12-01-1999,5.258,5.258,5.258,5.258
11-30-1999,5.285,5.285,5.285,5.285
11-29-1999,5.312,5.312,5.312,5.312
11-26-1999,5.281,5.281,5.281,5.281
11-24-1999,5.283,5.283,5.283,5.283
11-23-1999,5.222,5.222,5.222,5.222
11-22-1999,5.218,5.218,5.218,5.218
11-19-1999,5.218,5.218,5.218,5.218
11-18-1999,5.21,5.21,5.21,5.21
11-17-1999,5.201,5.201,5.201,5.201
11-16-1999,5.269,5.269,5.269,5.269
11-15-1999,5.249,5.249,5.249,5.249
11-12-1999,5.208,5.208,5.208,5.208
11-11-1999,5.198,5.198,5.198,5.198
11-10-1999,5.189,5.189,5.189,5.189
11-09-1999,5.128,5.128,5.128,5.128
11-08-1999,5.176,5.176,5.176,5.176
11-05-1999,5.093,5.093,5.093,5.093
11-04-1999,5.054,5.054,5.054,5.054
11-03-1999,5.055,5.055,5.055,5.055
11-02-1999,5.118,5.118,5.118,5.118
11-01-1999,5.041,5.041,5.041,5.041
10-29-1999,5.093,5.093,5.093,5.093
10-28-1999,5.096,5.096,5.096,5.096
10-27-1999,5.128,5.128,5.128,5.128
10-26-1999,5.136,5.136,5.136,5.136
10-25-1999,5.02,5.02,5.02,5.02
10-22-1999,5.062,5.062,5.062,5.062
10-21-1999,5.122,5.122,5.122,5.122
10-20-1999,5.133,5.133,5.133,5.133
10-19-1999,5.047,5.047,5.047,5.047
10-18-1999,5.062,5.062,5.062,5.062
10-15-1999,5.021,5.021,5.021,5.021
10-14-1999,5.007,5.007,5.007,5.007
10-13-1999,4.971,4.971,4.971,4.971
10-12-1999,4.848,4.848,4.848,4.848
10-11-1999,4.801,4.801,4.801,4.801
10-08-1999,4.801,4.801,4.801,4.801
10-07-1999,4.804,4.804,4.804,4.804
10-06-1999,4.805,4.805,4.805,4.805
10-05-1999,4.836,4.836,4.836,4.836
10-04-1999,4.77,4.77,4.77,4.77
10-01-1999,4.812,4.812,4.812,4.812
09-30-1999,4.794,4.794,4.794,4.794
09-29-1999,4.805,4.805,4.805,4.805
09-28-1999,4.857,4.857,4.857,4.857
09-27-1999,4.801,4.801,4.801,4.801
09-24-1999,4.781,4.781,4.781,4.781
09-23-1999,4.809,4.809,4.809,4.809
09-22-1999,4.805,4.805,4.805,4.805
09-21-1999,4.774,4.774,4.774,4.774
09-20-1999,4.656,4.656,4.656,4.656
09-17-1999,4.651,4.651,4.651,4.651
09-16-1999,4.69,4.69,4.69,4.69
09-15-1999,4.732,4.732,4.732,4.732
09-14-1999,4.816,4.816,4.816,4.816
09-13-1999,4.739,4.739,4.739,4.739
09-10-1999,4.74,4.74,4.74,4.74
09-09-1999,4.804,4.804,4.804,4.804
09-08-1999,4.815,4.815,4.815,4.815
09-07-1999,4.816,4.816,4.816,4.816
09-03-1999,4.895,4.895,4.895,4.895
09-02-1999,4.908,4.908,4.908,4.908
09-01-1999,4.94,4.94,4.94,4.94
08-31-1999,4.972,4.972,4.972,4.972
08-30-1999,4.969,4.969,4.969,4.969
08-27-1999,4.969,4.969,4.969,4.969
08-26-1999,4.919,4.919,4.919,4.919
08-25-1999,4.909,4.909,4.909,4.909
08-24-1999,4.931,4.931,4.931,4.931
08-23-1999,4.843,4.843,4.843,4.843
08-20-1999,4.792,4.792,4.792,4.792
08-19-1999,4.742,4.742,4.742,4.742
08-18-1999,4.753,4.753,4.753,4.753
08-17-1999,4.8,4.8,4.8,4.8
08-16-1999,4.688,4.688,4.688,4.688
08-13-1999,4.73,4.73,4.73,4.73
08-12-1999,4.779,4.779,4.779,4.779
08-11-1999,4.894,4.894,4.894,4.894
08-10-1999,4.926,4.926,4.926,4.926
08-09-1999,4.843,4.843,4.843,4.843
08-06-1999,4.771,4.771,4.771,4.771
08-05-1999,4.7,4.7,4.7,4.7
08-04-1999,4.763,4.763,4.763,4.763
08-03-1999,4.816,4.816,4.816,4.816
08-02-1999,4.775,4.775,4.775,4.775
07-30-1999,4.745,4.745,4.745,4.745
07-29-1999,4.71,4.71,4.71,4.71
07-28-1999,4.701,4.701,4.701,4.701
07-27-1999,4.691,4.691,4.691,4.691
07-26-1999,4.677,4.677,4.677,4.677
07-23-1999,4.615,4.615,4.615,4.615
07-22-1999,4.596,4.596,4.596,4.596
07-21-1999,4.565,4.565,4.565,4.565
07-20-1999,4.607,4.607,4.607,4.607
07-19-1999,4.62,4.62,4.62,4.62
07-16-1999,4.667,4.667,4.667,4.667
07-15-1999,4.69,4.69,4.69,4.69
07-14-1999,4.711,4.711,4.711,4.711
07-13-1999,4.701,4.701,4.701,4.701
07-12-1999,4.687,4.687,4.687,4.687
07-09-1999,4.667,4.667,4.667,4.667
07-08-1999,4.658,4.658,4.658,4.658
07-07-1999,4.648,4.648,4.648,4.648
07-06-1999,4.635,4.635,4.635,4.635
07-02-1999,4.666,4.666,4.666,4.666
07-01-1999,4.658,4.658,4.658,4.658
06-30-1999,4.753,4.753,4.753,4.753
06-29-1999,4.784,4.784,4.784,4.784
06-28-1999,4.801,4.801,4.801,4.801
06-25-1999,4.781,4.781,4.781,4.781
06-24-1999,4.723,4.723,4.723,4.723
06-23-1999,4.721,4.721,4.721,4.721
06-22-1999,4.732,4.732,4.732,4.732
06-21-1999,4.677,4.677,4.677,4.677
06-18-1999,4.657,4.657,4.657,4.657
06-17-1999,4.627,4.627,4.627,4.627
06-16-1999,4.648,4.648,4.648,4.648
06-15-1999,4.712,4.712,4.712,4.712
06-14-1999,4.687,4.687,4.687,4.687
06-11-1999,4.729,4.729,4.729,4.729
06-10-1999,4.658,4.658,4.658,4.658
06-09-1999,4.586,4.586,4.586,4.586
06-08-1999,4.597,4.597,4.597,4.597
06-07-1999,4.5,4.5,4.5,4.5
06-04-1999,4.537,4.537,4.537,4.537
06-03-1999,4.606,4.606,4.606,4.606
06-02-1999,4.721,4.721,4.721,4.721
06-01-1999,4.666,4.666,4.666,4.666
05-28-1999,4.635,4.635,4.635,4.635
05-27-1999,4.627,4.627,4.627,4.627
05-26-1999,4.648,4.648,4.648,4.648
