russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
1699.6399,29348.1,2415.5,9173.73,994.8,1557.9
1685.9,29196.04,2409.3,9166.63,994.8,1557.9
1684.4598,29186.27,2410.2,9188.58,994.8,1556.7
1685.0099,29160.09,2406.1,9216.98,994.8,1565.4
1662.23,28989.732,2395.3,9141.47,994.8,1571.9
1662.23,28989.732,2395.3,9141.47,994.8,1571.9
1662.23,28989.732,2395.3,9141.47,994.8,1571.9
1644.14,28535.8,2356.1,8952.18,994.8,1577.4
1658.31,28722.852,2372.5,9090.93,994.8,1569.8
1649.22,28734.45,2373.5,9101.61,994.8,1570.4
1648.2201,28859.44,2372.0,9136.09,994.8,1586.5
1614.06,28256.031,2342.4,8991.51,994.8,1584.9
1614.06,28256.031,2342.4,8991.51,994.8,1584.9
1614.06,28256.031,2342.4,8991.51,994.8,1584.9
1632.21,28399.81,2351.5,9126.23,994.8,1579.5
1656.77,28807.63,2383.3,9334.06,994.8,1552.7
1681.92,29290.85,2405.0,9367.48,994.8,1560.1
1677.46,29379.77,2416.5,9445.92,994.8,1567.2
1656.78,29102.51,2404.8,9401.1,994.8,1570.6
1656.78,29102.51,2404.8,9401.1,994.8,1570.6
1656.78,29102.51,2404.8,9401.1,994.8,1570.6
1667.67,29276.82,2413.1,9516.84,994.8,1576.6
1677.51,29276.34,2421.3,9517.86,994.8,1567.2
1689.38,29551.42,2435.0,9613.2,994.8,1568.8
1693.74,29423.31,2429.9,9595.7,994.8,1576.3
1687.5798,29398.082,2431.4,9623.58,994.8,1583.8
1687.5798,29398.082,2431.4,9623.58,994.8,1583.8
1687.5798,29398.082,2431.4,9623.58,994.8,1583.8
1687.5798,29398.082,2431.4,9623.58,994.8,1603.6
1683.5199,29232.19,2421.5,9629.8,994.8,1601.0
1692.57,29348.03,2431.2,9718.73,994.8,1608.8
1696.0701,29219.98,2420.2,9627.83,994.8,1617.4
1678.61,28992.41,2402.8,9446.69,994.8,1645.1
1678.61,28992.41,2402.8,9446.69,994.8,1645.1
1678.61,28992.41,2402.8,9446.69,994.8,1645.1
1628.1,27960.8,2330.8,9079.63,994.8,1673.5
1571.9,27081.36,2269.4,8834.87,994.8,1647.0001
1552.76,26957.59,2258.6,8873.76,994.8,1640.3999
1497.87,25766.64,2177.3,8436.67,994.8,1642.5
1476.43,25409.361,2141.1,8461.83,994.8,1566.7
1476.43,25409.361,2141.1,8461.83,994.8,1566.7
1476.43,25409.361,2141.1,8461.83,994.8,1566.7
